jumlah_topik,coherence,iterasi
2,0.40835032693420387,100
3,0.41175479396819264,1000
4,0.4388983158993691,1000
5,0.47399886036266264,1000
6,0.6913050894275102,1000
7,0.5138599337619646,100
8,0.49177930804207604,5000
